ORDERNUMBER;ORDERDATE;REQUIREDDATE;SHIPPEDDATE;STATUS;COMMENTS;CUSTOMERNUMBER
10114;2003/04/01 00:00:00.000000000;2003/04/07 00:00:00.000000000;2003/04/02 00:00:00.000000000;Shipped;;172
10121;2003/05/07 00:00:00.000000000;2003/05/13 00:00:00.000000000;2003/05/13 00:00:00.000000000;Shipped;;353
10122;2003/05/08 00:00:00.000000000;2003/05/16 00:00:00.000000000;2003/05/13 00:00:00.000000000;Shipped;;350
10123;2003/05/20 00:00:00.000000000;2003/05/29 00:00:00.000000000;2003/05/22 00:00:00.000000000;Shipped;;103
10134;2003/07/01 00:00:00.000000000;2003/07/10 00:00:00.000000000;2003/07/05 00:00:00.000000000;Shipped;;250
10136;2003/07/04 00:00:00.000000000;2003/07/14 00:00:00.000000000;2003/07/06 00:00:00.000000000;Shipped;Customer is interested in buying more Ferrari models;242
10137;2003/07/10 00:00:00.000000000;2003/07/20 00:00:00.000000000;2003/07/14 00:00:00.000000000;Shipped;;353
10178;2003/11/08 00:00:00.000000000;2003/11/16 00:00:00.000000000;2003/11/10 00:00:00.000000000;Shipped;Custom shipping instructions sent to warehouse;242
10180;2003/11/11 00:00:00.000000000;2003/11/19 00:00:00.000000000;2003/11/14 00:00:00.000000000;Shipped;;171
10194;2003/11/25 00:00:00.000000000;2003/12/02 00:00:00.000000000;2003/11/26 00:00:00.000000000;Shipped;;146
10208;2004/01/02 00:00:00.000000000;2004/01/11 00:00:00.000000000;2004/01/04 00:00:00.000000000;Shipped;;146
10211;2004/01/15 00:00:00.000000000;2004/01/25 00:00:00.000000000;2004/01/18 00:00:00.000000000;Shipped;;406
10216;2004/02/02 00:00:00.000000000;2004/02/10 00:00:00.000000000;2004/02/04 00:00:00.000000000;Shipped;;256
10224;2004/02/21 00:00:00.000000000;2004/03/02 00:00:00.000000000;2004/02/26 00:00:00.000000000;Shipped;Customer has worked with some of our vendors in the past and is aware of their MSRP;171
10227;2004/03/02 00:00:00.000000000;2004/03/12 00:00:00.000000000;2004/03/08 00:00:00.000000000;Shipped;;146
10241;2004/04/13 00:00:00.000000000;2004/04/20 00:00:00.000000000;2004/04/19 00:00:00.000000000;Shipped;;209
10252;2004/05/26 00:00:00.000000000;2004/06/04 00:00:00.000000000;2004/05/29 00:00:00.000000000;Shipped;;406
10255;2004/06/04 00:00:00.000000000;2004/06/12 00:00:00.000000000;2004/06/09 00:00:00.000000000;Shipped;;209
10275;2004/07/23 00:00:00.000000000;2004/08/02 00:00:00.000000000;2004/07/29 00:00:00.000000000;Shipped;;119
10286;2004/08/28 00:00:00.000000000;2004/09/06 00:00:00.000000000;2004/09/01 00:00:00.000000000;Shipped;;172
10298;2004/09/27 00:00:00.000000000;2004/10/05 00:00:00.000000000;2004/10/01 00:00:00.000000000;Shipped;;103
10304;2004/10/11 00:00:00.000000000;2004/10/20 00:00:00.000000000;2004/10/17 00:00:00.000000000;Shipped;;256
10315;2004/10/29 00:00:00.000000000;2004/11/08 00:00:00.000000000;2004/10/30 00:00:00.000000000;Shipped;;119
10336;2004/11/20 00:00:00.000000000;2004/11/26 00:00:00.000000000;2004/11/24 00:00:00.000000000;Shipped;Customer requested that DHL is used for this shipping;172
10343;2004/11/24 00:00:00.000000000;2004/12/01 00:00:00.000000000;2004/11/26 00:00:00.000000000;Shipped;;353
10344;2004/11/25 00:00:00.000000000;2004/12/02 00:00:00.000000000;2004/11/29 00:00:00.000000000;Shipped;;350
10345;2004/11/25 00:00:00.000000000;2004/12/01 00:00:00.000000000;2004/11/26 00:00:00.000000000;Shipped;;103
10356;2004/12/09 00:00:00.000000000;2004/12/15 00:00:00.000000000;2004/12/12 00:00:00.000000000;Shipped;;250
10359;2004/12/15 00:00:00.000000000;2004/12/23 00:00:00.000000000;2004/12/18 00:00:00.000000000;Shipped;;353
10364;2005/01/06 00:00:00.000000000;2005/01/17 00:00:00.000000000;2005/01/09 00:00:00.000000000;Shipped;;350
10375;2005/02/03 00:00:00.000000000;2005/02/10 00:00:00.000000000;2005/02/06 00:00:00.000000000;Shipped;;119
10395;2005/03/17 00:00:00.000000000;2005/03/24 00:00:00.000000000;2005/03/23 00:00:00.000000000;Shipped;We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.;250
10397;2005/03/28 00:00:00.000000000;2005/04/09 00:00:00.000000000;2005/04/01 00:00:00.000000000;Shipped;;242
10398;2005/03/30 00:00:00.000000000;2005/04/09 00:00:00.000000000;2005/03/31 00:00:00.000000000;Shipped;;353
10402;2005/04/07 00:00:00.000000000;2005/04/14 00:00:00.000000000;2005/04/12 00:00:00.000000000;Shipped;;406
10405;2005/04/14 00:00:00.000000000;2005/04/24 00:00:00.000000000;2005/04/20 00:00:00.000000000;Shipped;;209
10425;2005/05/31 00:00:00.000000000;2005/06/07 00:00:00.000000000;;In Process;;119
